"id","year","state_name","state_code","type_of_accident","cases","injured","died"
0,"2018","Andaman And Nicobar Islands","35","Railway Accidents",0.0,0.0,0.0
1,"2018","Andaman And Nicobar Islands","35","Railway Crossing Accidents",0.0,0.0,0.0
2,"2018","Andaman And Nicobar Islands","35","Road Accidents",254.0,260.0,19.0
3,"2018","Andhra Pradesh","28","Railway Accidents",1525.0,0.0,1531.0
4,"2018","Andhra Pradesh","28","Railway Crossing Accidents",1.0,0.0,1.0
5,"2018","Andhra Pradesh","28","Road Accidents",21008.0,22009.0,7584.0
6,"2018","Arunachal Pradesh","12","Railway Accidents",0.0,0.0,0.0
7,"2018","Arunachal Pradesh","12","Railway Crossing Accidents",0.0,0.0,0.0
8,"2018","Arunachal Pradesh","12","Road Accidents",229.0,243.0,163.0
9,"2018","Assam","18","Railway Accidents",555.0,0.0,557.0
10,"2018","Assam","18","Railway Crossing Accidents",21.0,3.0,22.0
11,"2018","Assam","18","Road Accidents",7180.0,6081.0,2712.0
12,"2018","Bihar","10","Railway Accidents",1583.0,23.0,1585.0
13,"2018","Bihar","10","Railway Crossing Accidents",222.0,0.0,222.0
14,"2018","Bihar","10","Road Accidents",9600.0,6679.0,6729.0
15,"2018","Chandigarh","4","Railway Accidents",0.0,0.0,0.0
16,"2018","Chandigarh","4","Railway Crossing Accidents",0.0,0.0,0.0
17,"2018","Chandigarh","4","Road Accidents",317.0,267.0,101.0
18,"2018","Chhattisgarh","22","Railway Accidents",400.0,0.0,400.0
19,"2018","Chhattisgarh","22","Railway Crossing Accidents",28.0,3.0,28.0
20,"2018","Chhattisgarh","22","Road Accidents",13865.0,12716.0,4593.0
21,"2018","Delhi","7","Railway Accidents",990.0,116.0,874.0
22,"2018","Delhi","7","Railway Crossing Accidents",6.0,0.0,6.0
23,"2018","Delhi","7","Road Accidents",6517.0,5640.0,1734.0
24,"2018","Goa","30","Railway Accidents",39.0,0.0,39.0
25,"2018","Goa","30","Railway Crossing Accidents",0.0,0.0,0.0
26,"2018","Goa","30","Road Accidents",3710.0,1502.0,264.0
27,"2018","Gujarat","24","Railway Accidents",1014.0,0.0,1022.0
28,"2018","Gujarat","24","Railway Crossing Accidents",0.0,0.0,0.0
29,"2018","Gujarat","24","Road Accidents",18414.0,17619.0,8040.0
30,"2018","Haryana","6","Railway Accidents",2141.0,0.0,2141.0
31,"2018","Haryana","6","Railway Crossing Accidents",6.0,0.0,8.0
32,"2018","Haryana","6","Road Accidents",11652.0,9819.0,5429.0
33,"2018","Himachal Pradesh","2","Railway Accidents",0.0,0.0,0.0
34,"2018","Himachal Pradesh","2","Railway Crossing Accidents",0.0,0.0,0.0
35,"2018","Himachal Pradesh","2","Road Accidents",3119.0,4992.0,1077.0
36,"2018","Jammu And Kashmir","1","Railway Accidents",64.0,4.0,61.0
37,"2018","Jammu And Kashmir","1","Railway Crossing Accidents",2.0,0.0,2.0
38,"2018","Jammu And Kashmir","1","Road Accidents",5997.0,7855.0,986.0
39,"2018","Jharkhand","20","Railway Accidents",447.0,0.0,447.0
40,"2018","Jharkhand","20","Railway Crossing Accidents",9.0,0.0,9.0
41,"2018","Jharkhand","20","Road Accidents",5394.0,3975.0,3542.0
42,"2018","Karnataka","29","Railway Accidents",0.0,0.0,0.0
43,"2018","Karnataka","29","Railway Crossing Accidents",0.0,0.0,0.0
44,"2018","Karnataka","29","Road Accidents",41707.0,51562.0,10990.0
45,"2018","Kerala","32","Railway Accidents",258.0,16.0,253.0
46,"2018","Kerala","32","Railway Crossing Accidents",180.0,2.0,178.0
47,"2018","Kerala","32","Road Accidents",40181.0,45458.0,4303.0
48,"2018","Lakshadweep","31","Railway Accidents",0.0,0.0,0.0
49,"2018","Lakshadweep","31","Railway Crossing Accidents",0.0,0.0,0.0
50,"2018","Lakshadweep","31","Road Accidents",3.0,3.0,1.0
51,"2018","Madhya Pradesh","23","Railway Accidents",1459.0,66.0,1396.0
52,"2018","Madhya Pradesh","23","Railway Crossing Accidents",152.0,0.0,152.0
53,"2018","Madhya Pradesh","23","Road Accidents",47469.0,51149.0,11427.0
54,"2018","Maharashtra","27","Railway Accidents",6349.0,2563.0,3801.0
55,"2018","Maharashtra","27","Railway Crossing Accidents",0.0,0.0,0.0
56,"2018","Maharashtra","27","Road Accidents",29740.0,25102.0,13863.0
57,"2018","Manipur","14","Railway Accidents",0.0,0.0,0.0
58,"2018","Manipur","14","Railway Crossing Accidents",0.0,0.0,0.0
59,"2018","Manipur","14","Road Accidents",602.0,1046.0,135.0
60,"2018","Meghalaya","17","Railway Accidents",0.0,0.0,0.0
61,"2018","Meghalaya","17","Railway Crossing Accidents",1.0,0.0,1.0
62,"2018","Meghalaya","17","Road Accidents",258.0,232.0,196.0
63,"2018","Mizoram","15","Railway Accidents",0.0,0.0,0.0
64,"2018","Mizoram","15","Railway Crossing Accidents",0.0,0.0,0.0
65,"2018","Mizoram","15","Road Accidents",50.0,73.0,62.0
66,"2018","Nagaland","13","Railway Accidents",0.0,0.0,0.0
67,"2018","Nagaland","13","Railway Crossing Accidents",9.0,0.0,9.0
68,"2018","Nagaland","13","Road Accidents",50.0,90.0,35.0
69,"2018","Odisha","21","Railway Accidents",427.0,0.0,427.0
70,"2018","Odisha","21","Railway Crossing Accidents",3.0,0.0,3.0
71,"2018","Odisha","21","Road Accidents",11262.0,11389.0,5236.0
72,"2018","Puducherry","34","Railway Accidents",0.0,0.0,0.0
73,"2018","Puducherry","34","Railway Crossing Accidents",1.0,0.0,1.0
74,"2018","Puducherry","34","Road Accidents",1597.0,1727.0,226.0
75,"2018","Punjab","3","Railway Accidents",865.0,124.0,872.0
76,"2018","Punjab","3","Railway Crossing Accidents",0.0,0.0,0.0
77,"2018","Punjab","3","Road Accidents",6424.0,3339.0,4738.0
78,"2018","Rajasthan","8","Railway Accidents",655.0,29.0,633.0
79,"2018","Rajasthan","8","Railway Crossing Accidents",3.0,0.0,3.0
80,"2018","Rajasthan","8","Road Accidents",21743.0,21547.0,10320.0
81,"2018","Sikkim","11","Railway Accidents",0.0,0.0,0.0
82,"2018","Sikkim","11","Railway Crossing Accidents",0.0,0.0,0.0
83,"2018","Sikkim","11","Road Accidents",169.0,357.0,71.0
84,"2018","Tamil Nadu","33","Railway Accidents",2184.0,173.0,2025.0
85,"2018","Tamil Nadu","33","Railway Crossing Accidents",6.0,0.0,6.0
86,"2018","Tamil Nadu","33","Road Accidents",63920.0,74537.0,12216.0
87,"2018","Telangana","36","Railway Accidents",637.0,0.0,641.0
88,"2018","Telangana","36","Railway Crossing Accidents",0.0,0.0,0.0
89,"2018","Telangana","36","Road Accidents",22230.0,23613.0,6603.0
90,"2018","The Dadra And Nagar Haveli And Daman And Diu","38","Railway Accidents",0.0,0.0,0.0
91,"2018","The Dadra And Nagar Haveli And Daman And Diu","38","Railway Crossing Accidents",0.0,0.0,0.0
92,"2018","The Dadra And Nagar Haveli And Daman And Diu","38","Road Accidents",151.0,152.0,90.0
93,"2018","Tripura","16","Railway Accidents",7.0,0.0,7.0
94,"2018","Tripura","16","Railway Crossing Accidents",16.0,0.0,16.0
95,"2018","Tripura","16","Road Accidents",551.0,741.0,212.0
96,"2018","Uttar Pradesh","9","Railway Accidents",3272.0,283.0,3095.0
97,"2018","Uttar Pradesh","9","Railway Crossing Accidents",656.0,12.0,693.0
98,"2018","Uttar Pradesh","9","Road Accidents",36855.0,22322.0,22541.0
99,"2018","Uttarakhand","5","Railway Accidents",16.0,0.0,16.0
100,"2018","Uttarakhand","5","Railway Crossing Accidents",17.0,0.0,17.0
101,"2018","Uttarakhand","5","Road Accidents",1469.0,1583.0,1073.0
102,"2018","West Bengal","19","Railway Accidents",2756.0,34.0,2722.0
103,"2018","West Bengal","19","Railway Crossing Accidents",142.0,12.0,130.0
104,"2018","West Bengal","19","Road Accidents",11827.0,10839.0,5469.0
105,"2019","Andhra Pradesh","28","Railway Accidents",1511.0,1.0,1519.0
106,"2019","Andhra Pradesh","28","Railway Crossing Accidents",0.0,0.0,0.0
107,"2019","Andhra Pradesh","28","Road Accidents",20677.0,24619.0,7984.0
108,"2019","Arunachal Pradesh","12","Railway Accidents",0.0,0.0,0.0
109,"2019","Arunachal Pradesh","12","Railway Crossing Accidents",0.0,0.0,0.0
110,"2019","Arunachal Pradesh","12","Road Accidents",200.0,275.0,109.0
111,"2019","Assam","18","Railway Accidents",591.0,0.0,593.0
112,"2019","Assam","18","Railway Crossing Accidents",5.0,0.0,5.0
113,"2019","Assam","18","Road Accidents",8055.0,7081.0,3245.0
114,"2019","Bihar","10","Railway Accidents",1589.0,0.0,1622.0
115,"2019","Bihar","10","Railway Crossing Accidents",241.0,2.0,242.0
116,"2019","Bihar","10","Road Accidents",10007.0,7206.0,7205.0
117,"2019","Chandigarh","4","Railway Accidents",0.0,0.0,0.0
118,"2019","Chandigarh","4","Railway Crossing Accidents",0.0,0.0,0.0
119,"2019","Chandigarh","4","Road Accidents",304.0,275.0,104.0
120,"2019","Chhattisgarh","22","Railway Accidents",466.0,0.0,466.0
121,"2019","Chhattisgarh","22","Railway Crossing Accidents",1.0,0.0,1.0
122,"2019","Chhattisgarh","22","Road Accidents",13899.0,13089.0,5003.0
123,"2019","Delhi","7","Railway Accidents",858.0,62.0,796.0
124,"2019","Delhi","7","Railway Crossing Accidents",11.0,0.0,11.0
125,"2019","Delhi","7","Road Accidents",5601.0,4949.0,1508.0
126,"2019","Goa","30","Railway Accidents",50.0,0.0,50.0
127,"2019","Goa","30","Railway Crossing Accidents",0.0,0.0,0.0
128,"2019","Goa","30","Road Accidents",3440.0,1460.0,299.0
129,"2019","Gujarat","24","Railway Accidents",994.0,0.0,1012.0
130,"2019","Gujarat","24","Railway Crossing Accidents",0.0,0.0,0.0
131,"2019","Gujarat","24","Road Accidents",16503.0,15976.0,7428.0
