"id","year","state_name","state_code","cause","cases","injured","died"
0,"2018","Andaman And Nicobar Islands","35","Animal Crossing",0.0,0.0,0.0
1,"2018","Andaman And Nicobar Islands","35","Causes Not Known",0.0,0.0,0.0
2,"2018","Andaman And Nicobar Islands","35","Dangerous Or Careless Driving/ Over-Taking/Etc.",16.0,11.0,1.0
3,"2018","Andaman And Nicobar Islands","35","Defect In Mechanical Condition Of Motor Vehicle",0.0,0.0,0.0
4,"2018","Andaman And Nicobar Islands","35","Driving Under Influence Of Drug/Alcohol",20.0,19.0,0.0
5,"2018","Andaman And Nicobar Islands","35","Lack Of Road Infrastructure",0.0,0.0,0.0
6,"2018","Andaman And Nicobar Islands","35","Other Causes",65.0,70.0,11.0
7,"2018","Andaman And Nicobar Islands","35","Over Speeding",153.0,160.0,7.0
8,"2018","Andaman And Nicobar Islands","35","Physical Fatigue Of Drivers",0.0,0.0,0.0
9,"2018","Andaman And Nicobar Islands","35","Total Road Accidents",254.0,260.0,19.0
10,"2018","Andaman And Nicobar Islands","35","Unmanned Railway Crossing Accidents",0.0,0.0,0.0
11,"2018","Andaman And Nicobar Islands","35","Vehicles Parking At Road Shoulders",0.0,0.0,0.0
12,"2018","Andaman And Nicobar Islands","35","Weather Condition (Others Causes)",0.0,0.0,0.0
13,"2018","Andaman And Nicobar Islands","35","Weather Condition (Poor Visibility)",0.0,0.0,0.0
14,"2018","Andaman And Nicobar Islands","35","Weather Condition (Total)",0.0,0.0,0.0
15,"2018","Andhra Pradesh","28","Animal Crossing",54.0,66.0,31.0
16,"2018","Andhra Pradesh","28","Causes Not Known",122.0,68.0,64.0
17,"2018","Andhra Pradesh","28","Dangerous Or Careless Driving/ Over-Taking/Etc.",5495.0,4567.0,1441.0
18,"2018","Andhra Pradesh","28","Defect In Mechanical Condition Of Motor Vehicle",87.0,134.0,9.0
19,"2018","Andhra Pradesh","28","Driving Under Influence Of Drug/Alcohol",126.0,122.0,79.0
20,"2018","Andhra Pradesh","28","Lack Of Road Infrastructure",16.0,8.0,14.0
21,"2018","Andhra Pradesh","28","Other Causes",453.0,500.0,279.0
22,"2018","Andhra Pradesh","28","Over Speeding",14258.0,16069.0,5473.0
