"id","year","state_name","state_code","cause","cases","injured","died"
0,"2018","Andaman And Nicobar Islands","35","Collisions",0.0,0.0,0.0
1,"2018","Andaman And Nicobar Islands","35","Derailments",0.0,0.0,0.0
2,"2018","Andaman And Nicobar Islands","35","Explosion/Fire",0.0,0.0,0.0
3,"2018","Andaman And Nicobar Islands","35","Fall From Train/Collision With People At Tracks",0.0,0.0,0.0
4,"2018","Andaman And Nicobar Islands","35","Others",0.0,0.0,0.0
5,"2018","Andhra Pradesh","28","Collisions",0.0,0.0,0.0
6,"2018","Andhra Pradesh","28","Derailments",0.0,0.0,0.0
7,"2018","Andhra Pradesh","28","Explosion/Fire",0.0,0.0,0.0
8,"2018","Andhra Pradesh","28","Fall From Train/Collision With People At Tracks",1525.0,0.0,1531.0
9,"2018","Andhra Pradesh","28","Others",0.0,0.0,0.0
10,"2018","Arunachal Pradesh","12","Collisions",0.0,0.0,0.0
11,"2018","Arunachal Pradesh","12","Derailments",0.0,0.0,0.0
12,"2018","Arunachal Pradesh","12","Explosion/Fire",0.0,0.0,0.0
13,"2018","Arunachal Pradesh","12","Fall From Train/Collision With People At Tracks",0.0,0.0,0.0
14,"2018","Arunachal Pradesh","12","Others",0.0,0.0,0.0
15,"2018","Assam","18","Collisions",0.0,0.0,0.0
16,"2018","Assam","18","Derailments",0.0,0.0,0.0
17,"2018","Assam","18","Explosion/Fire",0.0,0.0,0.0
18,"2018","Assam","18","Fall From Train/Collision With People At Tracks",555.0,0.0,557.0
19,"2018","Assam","18","Others",0.0,0.0,0.0
20,"2018","Bihar","10","Collisions",0.0,0.0,0.0
21,"2018","Bihar","10","Derailments",0.0,0.0,0.0
22,"2018","Bihar","10","Explosion/Fire",0.0,0.0,0.0
23,"2018","Bihar","10","Fall From Train/Collision With People At Tracks",1578.0,23.0,1580.0
24,"2018","Bihar","10","Others",5.0,0.0,5.0
25,"2018","Chandigarh","4","Collisions",0.0,0.0,0.0
26,"2018","Chandigarh","4","Derailments",0.0,0.0,0.0
27,"2018","Chandigarh","4","Explosion/Fire",0.0,0.0,0.0
28,"2018","Chandigarh","4","Fall From Train/Collision With People At Tracks",0.0,0.0,0.0
29,"2018","Chandigarh","4","Others",0.0,0.0,0.0
30,"2018","Chhattisgarh","22","Collisions",0.0,0.0,0.0
31,"2018","Chhattisgarh","22","Derailments",0.0,0.0,0.0
32,"2018","Chhattisgarh","22","Explosion/Fire",0.0,0.0,0.0
33,"2018","Chhattisgarh","22","Fall From Train/Collision With People At Tracks",237.0,0.0,237.0
34,"2018","Chhattisgarh","22","Others",163.0,0.0,163.0
35,"2018","Delhi","7","Collisions",0.0,0.0,0.0
36,"2018","Delhi","7","Derailments",0.0,0.0,0.0
37,"2018","Delhi","7","Explosion/Fire",0.0,0.0,0.0
38,"2018","Delhi","7","Fall From Train/Collision With People At Tracks",31.0,6.0,25.0
39,"2018","Delhi","7","Others",959.0,110.0,849.0
40,"2018","Goa","30","Collisions",0.0,0.0,0.0
41,"2018","Goa","30","Derailments",0.0,0.0,0.0
42,"2018","Goa","30","Explosion/Fire",0.0,0.0,0.0
43,"2018","Goa","30","Fall From Train/Collision With People At Tracks",39.0,0.0,39.0
44,"2018","Goa","30","Others",0.0,0.0,0.0
45,"2018","Gujarat","24","Collisions",0.0,0.0,0.0
46,"2018","Gujarat","24","Derailments",0.0,0.0,0.0
47,"2018","Gujarat","24","Explosion/Fire",0.0,0.0,0.0
48,"2018","Gujarat","24","Fall From Train/Collision With People At Tracks",1014.0,0.0,1022.0
49,"2018","Gujarat","24","Others",0.0,0.0,0.0
50,"2018","Haryana","6","Collisions",0.0,0.0,0.0
51,"2018","Haryana","6","Derailments",0.0,0.0,0.0
52,"2018","Haryana","6","Explosion/Fire",0.0,0.0,0.0
53,"2018","Haryana","6","Fall From Train/Collision With People At Tracks",2140.0,0.0,2140.0
54,"2018","Haryana","6","Others",1.0,0.0,1.0
55,"2018","Himachal Pradesh","2","Collisions",0.0,0.0,0.0
56,"2018","Himachal Pradesh","2","Derailments",0.0,0.0,0.0
57,"2018","Himachal Pradesh","2","Explosion/Fire",0.0,0.0,0.0
58,"2018","Himachal Pradesh","2","Fall From Train/Collision With People At Tracks",0.0,0.0,0.0
59,"2018","Himachal Pradesh","2","Others",0.0,0.0,0.0
60,"2018","Jammu And Kashmir","1","Collisions",0.0,0.0,0.0
61,"2018","Jammu And Kashmir","1","Derailments",0.0,0.0,0.0
62,"2018","Jammu And Kashmir","1","Explosion/Fire",0.0,0.0,0.0
63,"2018","Jammu And Kashmir","1","Fall From Train/Collision With People At Tracks",64.0,4.0,61.0
64,"2018","Jammu And Kashmir","1","Others",0.0,0.0,0.0
65,"2018","Jharkhand","20","Collisions",0.0,0.0,0.0
66,"2018","Jharkhand","20","Derailments",0.0,0.0,0.0
67,"2018","Jharkhand","20","Explosion/Fire",0.0,0.0,0.0
68,"2018","Jharkhand","20","Fall From Train/Collision With People At Tracks",437.0,0.0,437.0
69,"2018","Jharkhand","20","Others",10.0,0.0,10.0
70,"2018","Karnataka","29","Collisions",0.0,0.0,0.0
71,"2018","Karnataka","29","Derailments",0.0,0.0,0.0
72,"2018","Karnataka","29","Explosion/Fire",0.0,0.0,0.0
73,"2018","Karnataka","29","Fall From Train/Collision With People At Tracks",0.0,0.0,0.0
74,"2018","Karnataka","29","Others",0.0,0.0,0.0
75,"2018","Kerala","32","Collisions",0.0,0.0,0.0
76,"2018","Kerala","32","Derailments",0.0,0.0,0.0
77,"2018","Kerala","32","Explosion/Fire",7.0,0.0,7.0
78,"2018","Kerala","32","Fall From Train/Collision With People At Tracks",174.0,10.0,165.0
79,"2018","Kerala","32","Others",77.0,6.0,81.0
80,"2018","Lakshadweep","31","Collisions",0.0,0.0,0.0
81,"2018","Lakshadweep","31","Derailments",0.0,0.0,0.0
82,"2018","Lakshadweep","31","Explosion/Fire",0.0,0.0,0.0
83,"2018","Lakshadweep","31","Fall From Train/Collision With People At Tracks",0.0,0.0,0.0
84,"2018","Lakshadweep","31","Others",0.0,0.0,0.0
85,"2018","Madhya Pradesh","23","Collisions",0.0,0.0,0.0
86,"2018","Madhya Pradesh","23","Derailments",0.0,0.0,0.0
87,"2018","Madhya Pradesh","23","Explosion/Fire",0.0,0.0,0.0
88,"2018","Madhya Pradesh","23","Fall From Train/Collision With People At Tracks",1228.0,66.0,1164.0
89,"2018","Madhya Pradesh","23","Others",231.0,0.0,232.0
90,"2018","Maharashtra","27","Collisions",0.0,0.0,0.0
91,"2018","Maharashtra","27","Derailments",0.0,0.0,0.0
92,"2018","Maharashtra","27","Explosion/Fire",0.0,0.0,0.0
93,"2018","Maharashtra","27","Fall From Train/Collision With People At Tracks",3646.0,1750.0,1909.0
94,"2018","Maharashtra","27","Others",2703.0,813.0,1892.0
