"id","year","state_name","state_code","mode_of_transport","offenders","victims"
0,"2018","Andaman And Nicobar Islands","35","Animal Drawn Vehicle",0.0,0.0
1,"2018","Andaman And Nicobar Islands","35","Bicycle",0.0,0.0
2,"2018","Andaman And Nicobar Islands","35","Bus",0.0,4.0
3,"2018","Andaman And Nicobar Islands","35","Car",0.0,0.0
4,"2018","Andaman And Nicobar Islands","35","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
5,"2018","Andaman And Nicobar Islands","35","Jeep",0.0,3.0
6,"2018","Andaman And Nicobar Islands","35","Other Motor Vehicles",0.0,0.0
7,"2018","Andaman And Nicobar Islands","35","Others",0.0,0.0
8,"2018","Andaman And Nicobar Islands","35","Pedestrian",0.0,0.0
9,"2018","Andaman And Nicobar Islands","35","Suv/Station Wagon/Etc.",0.0,1.0
10,"2018","Andaman And Nicobar Islands","35","Three Wheeler/Auto Rickshaw",0.0,1.0
11,"2018","Andaman And Nicobar Islands","35","Tractor",0.0,0.0
12,"2018","Andaman And Nicobar Islands","35","Truck/Lorry",0.0,5.0
13,"2018","Andaman And Nicobar Islands","35","Two Wheeler",0.0,5.0
14,"2018","Andhra Pradesh","28","Animal Drawn Vehicle",4.0,12.0
15,"2018","Andhra Pradesh","28","Bicycle",44.0,37.0
16,"2018","Andhra Pradesh","28","Bus",101.0,340.0
17,"2018","Andhra Pradesh","28","Car",223.0,488.0
18,"2018","Andhra Pradesh","28","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
19,"2018","Andhra Pradesh","28","Jeep",14.0,28.0
20,"2018","Andhra Pradesh","28","Other Motor Vehicles",43.0,218.0
21,"2018","Andhra Pradesh","28","Others",70.0,163.0
22,"2018","Andhra Pradesh","28","Pedestrian",89.0,583.0
23,"2018","Andhra Pradesh","28","Suv/Station Wagon/Etc.",12.0,112.0
24,"2018","Andhra Pradesh","28","Three Wheeler/Auto Rickshaw",195.0,515.0
25,"2018","Andhra Pradesh","28","Tractor",95.0,261.0
26,"2018","Andhra Pradesh","28","Truck/Lorry",373.0,727.0
27,"2018","Andhra Pradesh","28","Two Wheeler",1698.0,1139.0
28,"2018","Arunachal Pradesh","12","Animal Drawn Vehicle",0.0,0.0
29,"2018","Arunachal Pradesh","12","Bicycle",0.0,0.0
30,"2018","Arunachal Pradesh","12","Bus",0.0,1.0
31,"2018","Arunachal Pradesh","12","Car",28.0,10.0
32,"2018","Arunachal Pradesh","12","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
33,"2018","Arunachal Pradesh","12","Jeep",2.0,1.0
34,"2018","Arunachal Pradesh","12","Other Motor Vehicles",24.0,0.0
35,"2018","Arunachal Pradesh","12","Others",3.0,0.0
36,"2018","Arunachal Pradesh","12","Pedestrian",0.0,0.0
37,"2018","Arunachal Pradesh","12","Suv/Station Wagon/Etc.",22.0,8.0
38,"2018","Arunachal Pradesh","12","Three Wheeler/Auto Rickshaw",1.0,1.0
39,"2018","Arunachal Pradesh","12","Tractor",1.0,4.0
40,"2018","Arunachal Pradesh","12","Truck/Lorry",22.0,14.0
41,"2018","Arunachal Pradesh","12","Two Wheeler",14.0,7.0
42,"2018","Assam","18","Animal Drawn Vehicle",0.0,0.0
43,"2018","Assam","18","Bicycle",77.0,28.0
44,"2018","Assam","18","Bus",67.0,146.0
45,"2018","Assam","18","Car",154.0,320.0
46,"2018","Assam","18","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
47,"2018","Assam","18","Jeep",5.0,4.0
48,"2018","Assam","18","Other Motor Vehicles",31.0,39.0
49,"2018","Assam","18","Others",13.0,69.0
50,"2018","Assam","18","Pedestrian",20.0,159.0
51,"2018","Assam","18","Suv/Station Wagon/Etc.",140.0,69.0
52,"2018","Assam","18","Three Wheeler/Auto Rickshaw",58.0,83.0
53,"2018","Assam","18","Tractor",10.0,35.0
54,"2018","Assam","18","Truck/Lorry",190.0,215.0
55,"2018","Assam","18","Two Wheeler",328.0,452.0
56,"2018","Bihar","10","Animal Drawn Vehicle",1.0,0.0
57,"2018","Bihar","10","Bicycle",77.0,7.0
58,"2018","Bihar","10","Bus",535.0,206.0
59,"2018","Bihar","10","Car",416.0,202.0
60,"2018","Bihar","10","Hand Drawn Vehicle/ Cycle Rickshaw",2.0,0.0
61,"2018","Bihar","10","Jeep",418.0,41.0
62,"2018","Bihar","10","Other Motor Vehicles",14.0,25.0
63,"2018","Bihar","10","Others",31.0,52.0
64,"2018","Bihar","10","Pedestrian",95.0,182.0
65,"2018","Bihar","10","Suv/Station Wagon/Etc.",307.0,169.0
66,"2018","Bihar","10","Three Wheeler/Auto Rickshaw",332.0,202.0
67,"2018","Bihar","10","Tractor",132.0,69.0
68,"2018","Bihar","10","Truck/Lorry",587.0,358.0
69,"2018","Bihar","10","Two Wheeler",1528.0,741.0
70,"2018","Chandigarh","4","Animal Drawn Vehicle",0.0,0.0
71,"2018","Chandigarh","4","Bicycle",0.0,0.0
72,"2018","Chandigarh","4","Bus",0.0,2.0
73,"2018","Chandigarh","4","Car",4.0,39.0
74,"2018","Chandigarh","4","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
