"id","year","state_name","state_code","mode_of_transport","injured","died"
0,"2021","Andaman And Nicobar Islands","35","Animal Drawn Vehicle",0.0,0.0
1,"2021","Andaman And Nicobar Islands","35","Bicycle",2.0,0.0
2,"2021","Andaman And Nicobar Islands","35","Bus",1.0,1.0
3,"2021","Andaman And Nicobar Islands","35","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
4,"2021","Andaman And Nicobar Islands","35","Other Motor Vehicles",0.0,0.0
5,"2021","Andaman And Nicobar Islands","35","Others",0.0,0.0
6,"2021","Andaman And Nicobar Islands","35","Pedestrian",18.0,9.0
7,"2021","Andaman And Nicobar Islands","35","Suv / Car / Jeep / Etc.",17.0,1.0
8,"2021","Andaman And Nicobar Islands","35","Three Wheeler/Auto Rickshaw",6.0,1.0
9,"2021","Andaman And Nicobar Islands","35","Tractor",0.0,0.0
10,"2021","Andaman And Nicobar Islands","35","Truck/Lorry/Mini Truck",4.0,0.0
11,"2021","Andaman And Nicobar Islands","35","Two Wheeler",49.0,10.0
12,"2021","Andhra Pradesh","28","Animal Drawn Vehicle",20.0,4.0
13,"2021","Andhra Pradesh","28","Bicycle",248.0,146.0
14,"2021","Andhra Pradesh","28","Bus",559.0,146.0
15,"2021","Andhra Pradesh","28","Hand Drawn Vehicle/ Cycle Rickshaw",36.0,4.0
16,"2021","Andhra Pradesh","28","Other Motor Vehicles",106.0,93.0
17,"2021","Andhra Pradesh","28","Others",521.0,244.0
18,"2021","Andhra Pradesh","28","Pedestrian",2355.0,1346.0
19,"2021","Andhra Pradesh","28","Suv / Car / Jeep / Etc.",2448.0,652.0
20,"2021","Andhra Pradesh","28","Three Wheeler/Auto Rickshaw",2772.0,644.0
21,"2021","Andhra Pradesh","28","Tractor",318.0,218.0
22,"2021","Andhra Pradesh","28","Truck/Lorry/Mini Truck",1308.0,523.0
23,"2021","Andhra Pradesh","28","Two Wheeler",10349.0,4166.0
24,"2021","Arunachal Pradesh","12","Animal Drawn Vehicle",0.0,0.0
25,"2021","Arunachal Pradesh","12","Bicycle",3.0,1.0
26,"2021","Arunachal Pradesh","12","Bus",13.0,3.0
27,"2021","Arunachal Pradesh","12","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
28,"2021","Arunachal Pradesh","12","Other Motor Vehicles",4.0,3.0
29,"2021","Arunachal Pradesh","12","Others",6.0,10.0
30,"2021","Arunachal Pradesh","12","Pedestrian",6.0,2.0
31,"2021","Arunachal Pradesh","12","Suv / Car / Jeep / Etc.",101.0,77.0
32,"2021","Arunachal Pradesh","12","Three Wheeler/Auto Rickshaw",6.0,8.0
33,"2021","Arunachal Pradesh","12","Tractor",0.0,3.0
34,"2021","Arunachal Pradesh","12","Truck/Lorry/Mini Truck",46.0,33.0
35,"2021","Arunachal Pradesh","12","Two Wheeler",81.0,33.0
36,"2021","Assam","18","Animal Drawn Vehicle",2.0,1.0
37,"2021","Assam","18","Bicycle",223.0,177.0
38,"2021","Assam","18","Bus",454.0,144.0
39,"2021","Assam","18","Hand Drawn Vehicle/ Cycle Rickshaw",52.0,3.0
40,"2021","Assam","18","Other Motor Vehicles",95.0,56.0
41,"2021","Assam","18","Others",0.0,2.0
42,"2021","Assam","18","Pedestrian",516.0,350.0
43,"2021","Assam","18","Suv / Car / Jeep / Etc.",1145.0,569.0
44,"2021","Assam","18","Three Wheeler/Auto Rickshaw",516.0,127.0
45,"2021","Assam","18","Tractor",37.0,30.0
46,"2021","Assam","18","Truck/Lorry/Mini Truck",513.0,256.0
47,"2021","Assam","18","Two Wheeler",1867.0,1299.0
48,"2021","Bihar","10","Animal Drawn Vehicle",0.0,0.0
49,"2021","Bihar","10","Bicycle",570.0,495.0
50,"2021","Bihar","10","Bus",163.0,71.0
51,"2021","Bihar","10","Hand Drawn Vehicle/ Cycle Rickshaw",3.0,10.0
52,"2021","Bihar","10","Other Motor Vehicles",146.0,88.0
53,"2021","Bihar","10","Others",564.0,443.0
54,"2021","Bihar","10","Pedestrian",1943.0,2796.0
55,"2021","Bihar","10","Suv / Car / Jeep / Etc.",770.0,504.0
56,"2021","Bihar","10","Three Wheeler/Auto Rickshaw",821.0,405.0
57,"2021","Bihar","10","Tractor",78.0,65.0
58,"2021","Bihar","10","Truck/Lorry/Mini Truck",139.0,126.0
59,"2021","Bihar","10","Two Wheeler",2749.0,2657.0
60,"2021","Chandigarh","4","Animal Drawn Vehicle",0.0,0.0
61,"2021","Chandigarh","4","Bicycle",14.0,17.0
62,"2021","Chandigarh","4","Bus",0.0,1.0
63,"2021","Chandigarh","4","Hand Drawn Vehicle/ Cycle Rickshaw",4.0,1.0
64,"2021","Chandigarh","4","Other Motor Vehicles",0.0,0.0
65,"2021","Chandigarh","4","Others",0.0,0.0
66,"2021","Chandigarh","4","Pedestrian",19.0,7.0
67,"2021","Chandigarh","4","Suv / Car / Jeep / Etc.",26.0,6.0
68,"2021","Chandigarh","4","Three Wheeler/Auto Rickshaw",27.0,17.0
69,"2021","Chandigarh","4","Tractor",0.0,0.0
70,"2021","Chandigarh","4","Truck/Lorry/Mini Truck",6.0,0.0
71,"2021","Chandigarh","4","Two Wheeler",76.0,47.0
72,"2021","Chhattisgarh","22","Animal Drawn Vehicle",10.0,4.0
73,"2021","Chhattisgarh","22","Bicycle",325.0,215.0
74,"2021","Chhattisgarh","22","Bus",155.0,37.0
75,"2021","Chhattisgarh","22","Hand Drawn Vehicle/ Cycle Rickshaw",7.0,5.0
76,"2021","Chhattisgarh","22","Other Motor Vehicles",498.0,271.0
77,"2021","Chhattisgarh","22","Others",1602.0,585.0
78,"2021","Chhattisgarh","22","Pedestrian",900.0,430.0
79,"2021","Chhattisgarh","22","Suv / Car / Jeep / Etc.",1491.0,361.0
80,"2021","Chhattisgarh","22","Three Wheeler/Auto Rickshaw",117.0,205.0
81,"2021","Chhattisgarh","22","Tractor",192.0,175.0
82,"2021","Chhattisgarh","22","Truck/Lorry/Mini Truck",516.0,330.0
83,"2021","Chhattisgarh","22","Two Wheeler",4869.0,2795.0
84,"2021","Delhi","7","Animal Drawn Vehicle",4.0,0.0
85,"2021","Delhi","7","Bicycle",95.0,41.0
86,"2021","Delhi","7","Bus",98.0,30.0
87,"2021","Delhi","7","Hand Drawn Vehicle/ Cycle Rickshaw",24.0,0.0
88,"2021","Delhi","7","Other Motor Vehicles",123.0,56.0
89,"2021","Delhi","7","Others",252.0,98.0
90,"2021","Delhi","7","Pedestrian",277.0,84.0
91,"2021","Delhi","7","Suv / Car / Jeep / Etc.",1105.0,278.0
92,"2021","Delhi","7","Three Wheeler/Auto Rickshaw",252.0,121.0
93,"2021","Delhi","7","Tractor",17.0,7.0
94,"2021","Delhi","7","Truck/Lorry/Mini Truck",171.0,71.0
95,"2021","Delhi","7","Two Wheeler",1571.0,453.0
96,"2021","Goa","30","Animal Drawn Vehicle",0.0,0.0
97,"2021","Goa","30","Bicycle",11.0,6.0
98,"2021","Goa","30","Bus",30.0,0.0
99,"2021","Goa","30","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
100,"2021","Goa","30","Other Motor Vehicles",0.0,0.0
