"id","year","state_name","state_code","place","gender","number_of_deaths"
0,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Factory)","Female",0.0
1,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Factory)","Male",0.0
2,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Factory)","Transgender",0.0
3,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Recreation Place/ Cinema Hall)","Female",0.0
4,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Recreation Place/ Cinema Hall)","Male",0.0
5,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Recreation Place/ Cinema Hall)","Transgender",0.0
6,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Religious Place)","Female",0.0
7,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Religious Place)","Male",1.0
8,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Religious Place)","Transgender",0.0
9,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Residential Area)","Female",1.0
10,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Residential Area)","Male",4.0
11,"2018","Andaman And Nicobar Islands","35","Rural Area (Near Residential Area)","Transgender",0.0
12,"2018","Andaman And Nicobar Islands","35","Rural Area (Near School/College/ Educational Institution)","Female",0.0
13,"2018","Andaman And Nicobar Islands","35","Rural Area (Near School/College/ Educational Institution)","Male",2.0
14,"2018","Andaman And Nicobar Islands","35","Rural Area (Near School/College/ Educational Institution)","Transgender",0.0
15,"2018","Andaman And Nicobar Islands","35","Rural Area (Others)","Female",1.0
16,"2018","Andaman And Nicobar Islands","35","Rural Area (Others)","Male",5.0
17,"2018","Andaman And Nicobar Islands","35","Rural Area (Others)","Transgender",0.0
18,"2018","Andaman And Nicobar Islands","35","Rural Area (Sub Total)","Female",2.0
19,"2018","Andaman And Nicobar Islands","35","Rural Area (Sub Total)","Male",12.0
20,"2018","Andaman And Nicobar Islands","35","Rural Area (Sub Total)","Transgender",0.0
21,"2018","Andaman And Nicobar Islands","35","Urban Area (At Pedestrian Crossing)","Female",0.0
22,"2018","Andaman And Nicobar Islands","35","Urban Area (At Pedestrian Crossing)","Male",0.0
23,"2018","Andaman And Nicobar Islands","35","Urban Area (At Pedestrian Crossing)","Transgender",0.0
24,"2018","Andaman And Nicobar Islands","35","Urban Area (Near Factory/Industrial Area)","Female",0.0
25,"2018","Andaman And Nicobar Islands","35","Urban Area (Near Factory/Industrial Area)","Male",0.0
26,"2018","Andaman And Nicobar Islands","35","Urban Area (Near Factory/Industrial Area)","Transgender",0.0
27,"2018","Andaman And Nicobar Islands","35","Urban Area (Near Recreation Place/ Cinema Hall)","Female",0.0
28,"2018","Andaman And Nicobar Islands","35","Urban Area (Near Recreation Place/ Cinema Hall)","Male",0.0
